Country,Rank,Vaccinations per hundred,Total vaccinations,Daily vaccinations per million,Vaccines used
Gibraltar,1.0,188.99,63671.0,5639.0,Pfizer/BioNTech
Falkland Islands,2.0,124.09,4322.0,51105.0,Oxford/AstraZeneca
Israel,3.0,118.5,10256698.0,2355.0,"Moderna, Pfizer/BioNTech"
Seychelles,4.0,105.72,103968.0,4962.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
United Arab Emirates,5.0,91.05,9005444.0,6160.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
Cayman Islands,6.0,85.54,56214.0,10864.0,Pfizer/BioNTech
Isle of Man,7.0,72.09,61296.0,11455.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Jersey,8.0,67.04,67760.0,12199.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,9.0,66.54,2097929.0,6734.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,10.0,66.08,41152.0,6744.0,Pfizer/BioNTech
Chile,11.0,62.94,12031595.0,9205.0,"Pfizer/BioNTech, Sinovac"
Bhutan,12.0,61.47,474303.0,1387.0,Oxford/AstraZeneca
England,13.0,59.07,33248869.0,5646.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,14.0,59.06,3226453.0,5793.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Guernsey,15.0,56.42,37829.0,7338.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,16.0,56.21,956471.0,11677.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
United States,17.0,55.93,187047131.0,9394.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Malta,18.0,54.58,240984.0,9227.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,19.0,53.58,1014642.0,5662.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Maldives,20.0,52.49,283753.0,10118.0,Oxford/AstraZeneca
Monaco,21.0,52.26,20510.0,4434.0,Pfizer/BioNTech
Saint Helena,22.0,51.18,3107.0,12354.0,Oxford/AstraZeneca
San Marino,23.0,49.76,16889.0,14379.0,"Pfizer/BioNTech, Sputnik V"
Hungary,24.0,42.62,4117641.0,12448.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Serbia,25.0,42.37,2882854.0,7098.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Qatar,26.0,37.48,1079776.0,8376.0,Pfizer/BioNTech
Anguilla,27.0,35.65,5348.0,3999.0,Oxford/AstraZeneca
Turks and Caicos Islands,28.0,33.41,12935.0,6095.0,Pfizer/BioNTech
Uruguay,29.0,29.5,1024657.0,9849.0,"Pfizer/BioNTech, Sinovac"
Singapore,30.0,28.5,1667522.0,7540.0,"Moderna, Pfizer/BioNTech"
Antigua and Barbuda,31.0,26.98,26424.0,1644.0,Oxford/AstraZeneca
Montserrat,32.0,26.13,1306.0,10602.0,Oxford/AstraZeneca
Northern Cyprus,33.0,25.63,97969.0,3671.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Iceland,34.0,25.31,86368.0,5152.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,35.0,25.17,333835.0,4527.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Dominica,36.0,25.16,18112.0,4070.0,Oxford/AstraZeneca
Lithuania,37.0,24.58,669044.0,5368.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,38.0,23.52,11494.0,1637.0,"Moderna, Pfizer/BioNTech"
Austria,39.0,23.51,2117170.0,5259.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Morocco,40.0,23.32,8606571.0,1415.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Barbados,41.0,22.92,65867.0,1058.0,Oxford/AstraZeneca
Denmark,42.0,22.69,1314027.0,3182.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Andorra,43.0,22.12,17091.0,8594.0,Pfizer/BioNTech
Finland,44.0,22.01,1219580.0,4022.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Turkey,45.0,21.93,18494796.0,3069.0,"Pfizer/BioNTech, Sinovac"
Spain,46.0,21.88,10231825.0,5458.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,47.0,21.76,18231747.0,5462.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,48.0,21.6,2503818.0,4666.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,49.0,21.58,2200510.0,4127.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Italy,50.0,21.56,13032996.0,4396.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,51.0,21.2,14444958.0,4407.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,52.0,21.19,7996122.0,6147.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ireland,53.0,21.18,1045919.0,3531.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Slovakia,54.0,21.0,1146391.0,3114.0,Pfizer/BioNTech
Cyprus,55.0,20.92,183225.0,3913.0,Pfizer/BioNTech
